time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
614.5,375.02,1.0031622306043744,NaN
614.5,375.47,1.0397907185815267,NaN
614.5,375.92,1.0874405830362452,NaN
614.5,376.37,1.137574156867505,NaN
614.5,376.82,1.1814242244882673,NaN
614.5,377.28,1.22414992720174,NaN
614.5,377.73,1.2484130165805372,NaN
614.5,378.19,1.2563777533447626,NaN
614.5,378.65,1.253829079574078,NaN
614.5,379.11,1.2388661562651428,NaN
614.5,379.57,1.215568972720596,NaN
614.5,380.04,1.1880340389336075,NaN
614.5,380.51,1.1540633208063675,NaN
614.5,380.98,1.106093896840328,NaN
614.5,381.45,1.0458199519691624,NaN
614.5,381.92,0.9790040391787155,NaN
614.5,382.39,0.9252919937413355,NaN
614.5,382.87,0.884652856775662,NaN
614.5,383.35,0.863316535350165,NaN
614.5,383.83,0.8645979778977047,NaN
614.5,384.31,0.8958082091513583,NaN
614.5,384.80,0.9345716035225617,NaN
614.5,385.28,0.9668036875299978,NaN
614.5,385.77,0.9884393952782093,NaN
614.5,386.26,1.0032229518049125,NaN
614.5,386.76,1.0122543269544328,NaN
614.5,387.25,1.0178962206315356,NaN
614.5,387.75,1.0305078460336543,NaN
614.5,388.25,1.0505425498066534,NaN
614.5,388.75,1.0855376150191671,NaN
614.5,389.25,1.131396734122528,NaN
614.5,389.76,1.1758838148320208,NaN
614.5,390.26,1.20473557374845,NaN
614.5,390.77,1.2028294005442197,NaN
614.5,391.29,1.171847006933338,NaN
614.5,391.80,1.118922437514938,NaN
614.5,392.32,1.0520346473965385,NaN
614.5,392.84,0.9939056480353483,NaN
614.5,393.36,0.9622033996216247,NaN
614.5,393.88,0.9613387226330918,NaN
614.5,394.40,0.9728536863710484,NaN
614.5,394.93,0.9932958205170658,NaN
614.5,395.46,1.0214867622556847,NaN
614.5,395.99,1.0490944755147402,NaN
614.5,396.53,1.0781185217078517,NaN
614.5,397.07,1.1226660054126583,NaN
614.5,397.61,1.2024180195358187,NaN
614.5,398.15,1.300971106540935,NaN
614.5,398.69,1.4058320011313634,NaN
614.5,399.24,1.5113268323578928,NaN
614.5,399.79,1.6068610988020755,NaN
